BOROUGH,BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
BRONX,2215,116,5210 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,ROOFTOP LEASE LOCATION
BRONX,2215,116,5220 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,DEVELOPMENT MANAGEMENT OFFICE
BRONX,2215,116,5470 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,CHILDREN CENTER
BRONX,2215,116,5480 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,NURSERY SCHOOL
BRONX,2215,116,5360 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,116,5240 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,LAUNDRY/REFRIGERATOR AND STOVE STORAGE ROOM/EXTERMINATOR SHOP
BRONX,2215,116,5250 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,116,89 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,BULK STORAGE ROOM/ STORAGE ROOM
BRONX,2215,116,79GAR WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,GARAGE
BRONX,2215,116,69 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,116,79 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,CARPENTERS SHOP CONTRACT PAINT SHOP/ NYCHA PAINT SHOP/ GROUNDS SHOP/ JANITORIAL SUPPLY ROOM/ OLD BRICK SHOP/ X-MAN SHOP
BRONX,2215,116,49 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,623,5365 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,SENIOR CENTER/COMMUNITY CENTER
BRONX,2215,623,125 WEST 228TH STREET,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2263,19,180 BROOK AVENUE,10454,MILL BROOK,MILL BROOK,1,
BRONX,2263,19,520 EAST 137TH STREET,10454,MILL BROOK,MILL BROOK,1,
BRONX,2263,19,530 EAST 137TH STREET,10454,MILL BROOK,MILL BROOK,1,
BRONX,2263,19,161 SAINT ANNS AVENUE,10454,MILL BROOK,MILL BROOK,1,CHILDREN CENTER
BRONX,2263,19,165 SAINT ANNS AVENUE,10454,MILL BROOK,MILL BROOK,1,PLUMBERS SHOP
BRONX,2263,19,201 SAINT ANNS AVENUE,10454,MILL BROOK,MILL BROOK,1,NURSERY SCHOOL/COMMUNITY CENTER/SENIOR CENTER
BRONX,2298,40,200 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,CHILDREN CENTER
BRONX,2298,40,210 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,COMMUNITY CENTER
BRONX,2298,40,350 EAST 137TH STREET,10454,MITCHEL,MITCHEL,1,PLASTERERS SHOP
BRONX,2298,40,352 EAST 137TH STREET,10454,MITCHEL,MITCHEL,1,
BRONX,2298,40,360 EAST 137TH STREET,10454,MITCHEL,MITCHEL,1,GLAZIERS SHOP/ STORAGE ROOM/ ROVING TEAM OFFICE
BRONX,2298,40,362 EAST 137TH STREET,10454,MITCHEL,MITCHEL,1,
BRONX,2298,40,225 WILLIS AVENUE,10454,MITCHEL,MITCHEL,1,SALT AND SAND ROOM
BRONX,2298,40,227 WILLIS AVENUE,10454,MITCHEL,MITCHEL,1,
BRONX,2298,40,175 WILLIS AVENUE,10454,MITCHEL,MITCHEL,1,BRICKLAYERS SHOP/BRONX HEATING MANAGEMENT OFFICE
BRONX,2298,40,177 WILLIS AVENUE,10454,MITCHEL,MITCHEL,1,
BRONX,2298,40,185 WILLIS AVENUE,10454,MITCHEL,MITCHEL,1,COMMUNITY OPERATIONS FACILITY
BRONX,2298,62,361 EAST 135TH STREET,10454,MITCHEL,NYC DEPT OF PARKS,1,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION)/ CABINET STORAGE/ CARPENTERS SHOP/ GROUNDS SHOP
BRONX,2303,21,388 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,CARPENTERS SHOPS/ GLAZIERS SHOPS/EXTERMINATOR SHOP
BRONX,2303,21,390 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
BRONX,2303,21,370 EAST 141ST STREET,10454,MOTT HAVEN,NYC DEPT OF PARKS,1,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION)
BRONX,2304,1,340 ALEXANDER AVENUE,10454,MOTT HAVEN,MOTT HAVEN,1,BOILER
BRONX,2304,1,342 ALEXANDER AVENUE,10454,MOTT HAVEN,MOTT HAVEN,1,
BRONX,2304,1,373 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,DEVELOPMENT MANAGEMENT OFFICE
BRONX,2304,1,383 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,BRICKLAYERS SHOP/ CONTRACT PAINT SHOP/PAINT SHOP/ ROOFER SHOP
BRONX,2304,1,385 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
BRONX,2304,1,353 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
BRONX,2304,1,355 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
BRONX,2304,1,369 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,DEVELOPMENT MAINTENANCE AREA/ JANITORIAL STOREROOM/ STOREROOM
BRONX,2304,1,350 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,PLASTERERS SHOP
BRONX,2304,1,352 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
BRONX,2304,1,370 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,DEVELOPMENT GROUNDS SHOP/ GROUNDS SHOP
BRONX,2304,1,380 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,CARETAKER X-SHOP
BRONX,2304,1,382 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,
